Page link,Infos,test2,Distance Year Color
https://divar.ir/v/-/wYXwI0Gi,[['پژو 405 GLX بنزینی']],"برند و تیپ,وضعیت موتور,سالم,وضعیت شاسی‌ها,سالم و پلمپ,وضعیت بدنه,خط و خش جزیی,مهلت بیمهٔ شخص ثالث,۶ ماه,گیربکس,دنده‌ای,نحوه فروش,نقدی,قیمت فروش نقدی,۱۲۰٬۰۰۰٬۰۰۰ تومان","[['۳۶۳٬۰۰۰'], [1387], ['نوک\u200cمدادی']]"
Page link,Infos,test2,Distance Year Color
https://divar.ir/v/-/wYXw4keV,[['پژو 405 GLX - دوگانه سوز CNG']],"برند و تیپ,وضعیت موتور,سالم,شاسی جلو,ضربه‌خورده,وضعیت بدنه,دوررنگ,مهلت بیمهٔ شخص ثالث,۹ ماه,گیربکس,دنده‌ای,نحوه فروش,نقدی,قیمت فروش نقدی,۹۹٬۵۰۰٬۰۰۰ تومان","[['۴۰۰٬۰۰۰'], [1386], ['نقره\u200cای']]"
Page link,Infos,test2,Distance Year Color
https://divar.ir/v/-/wYXwI0Gi,[['پژو 405 GLX بنزینی']],"برند و تیپ,وضعیت موتور,سالم,وضعیت شاسی‌ها,سالم و پلمپ,وضعیت بدنه,خط و خش جزیی,مهلت بیمهٔ شخص ثالث,۶ ماه,گیربکس,دنده‌ای,نحوه فروش,نقدی,قیمت فروش نقدی,۱۲۰٬۰۰۰٬۰۰۰ تومان","[['۳۶۳٬۰۰۰'], [1387], ['نوک\u200cمدادی']]"
https://divar.ir/v/-/wYXwYchK,[['پیکان وانت بنزینی']],"برند و تیپ,وضعیت موتور,سالم,وضعیت شاسی‌ها,سالم و پلمپ,وضعیت بدنه,رنگ‌شدگی,مهلت بیمهٔ شخص ثالث,۲ ماه,گیربکس,دنده‌ای,نحوه فروش,نقدی,قیمت فروش نقدی,۱۱۰٬۰۰۰٬۰۰۰ تومان","[['۲۰۰٬۰۰۰'], [1390], ['سفید']]"
https://divar.ir/v/-/wYXwYFQM,[['پیکان بنزینی']],"برند و تیپ,وضعیت موتور,سالم,وضعیت شاسی‌ها,سالم و پلمپ,وضعیت بدنه,خط و خش جزیی,مهلت بیمهٔ شخص ثالث,۱۲ ماه,گیربکس,دنده‌ای,نحوه فروش,نقدی,قیمت فروش نقدی,۲۸٬۰۰۰٬۰۰۰ تومان","[['۱۰۰٬۰۰۰'], [1381], ['سفید']]"
https://divar.ir/v/-/wYXw4keV,[['پژو 405 GLX - دوگانه سوز CNG']],"برند و تیپ,وضعیت موتور,سالم,شاسی جلو,ضربه‌خورده,وضعیت بدنه,دوررنگ,مهلت بیمهٔ شخص ثالث,۹ ماه,گیربکس,دنده‌ای,نحوه فروش,نقدی,قیمت فروش نقدی,۹۹٬۵۰۰٬۰۰۰ تومان","[['۴۰۰٬۰۰۰'], [1386], ['نقره\u200cای']]"
https://divar.ir/v/-/wYXwYZlc,[['پژو پارس دوگانه سوز']],"برند و تیپ,وضعیت موتور,سالم,وضعیت شاسی‌ها,سالم و پلمپ,وضعیت بدنه,دوررنگ,مهلت بیمهٔ شخص ثالث,۸ ماه,گیربکس,دنده‌ای,نحوه فروش,نقدی,قیمت فروش نقدی,۱۶۸٬۰۰۰٬۰۰۰ تومان","[['۲۰۰٬۰۰۰'], [1391], ['دلفینی']]"
https://divar.ir/v/-/wYLMKqNP,[['پراید صندوق\u200cدار بنزینی']],"برند و تیپ,وضعیت موتور,سالم,شاسی جلو,رنگ‌شده,شاسی عقب,سالم و پلمپ,وضعیت بدنه,سالم و بی‌خط و خش,مهلت بیمهٔ شخص ثالث,۶ ماه,نحوه فروش,نقدی,قیمت فروش نقدی,۳۵٬۰۰۰٬۰۰۰ تومان","[['۲۷۸٬۴۸۲'], [1380], ['سفید']]"
https://divar.ir/v/-/wYXwYr9f,[['تیبا هاچبک EX']],"برند و تیپ,وضعیت موتور,سالم,وضعیت شاسی‌ها,سالم و پلمپ,وضعیت بدنه,سالم و بی‌خط و خش,مهلت بیمهٔ شخص ثالث,۱۲ ماه,گیربکس,دنده‌ای,نحوه فروش,نقدی,قیمت فروش نقدی,۱۷۵٬۰۰۰٬۰۰۰ تومان","[['۵۰٬۰۰۰'], [1398], ['سفید']]"
