Page link,Infos,test2,Distance Year Color
https://divar.ir/v/-/wYVAdDHc,[['پژو 206 SD V8']],"برند و تیپ,وضعیت موتور,سالم,وضعیت شاسی‌ها,سالم و پلمپ,وضعیت بدنه,خط و خش جزیی,مهلت بیمهٔ شخص ثالث,۱۲ ماه,گیربکس,دنده‌ای,نحوه فروش,نقدی,قیمت فروش نقدی,۲۴۰٬۰۰۰٬۰۰۰ تومان","[['۲۰۰٬۰۰۰'], [1395], ['سفید']]"
https://divar.ir/v/-/wYV0M9of,[['پژو 207i دنده\u200cای']],"برند و تیپ,وضعیت موتور,سالم,وضعیت شاسی‌ها,سالم و پلمپ,وضعیت بدنه,سالم و بی‌خط و خش,مهلت بیمهٔ شخص ثالث,۱۲ ماه,گیربکس,دنده‌ای,نحوه فروش,نقدی,قیمت فروش نقدی,۴۰۴٬۰۰۰٬۰۰۰ تومان","[['۰'], [1401], ['سفید']]"
https://divar.ir/v/-/wYVAtA5I,[['پژو 207i اتوماتیک']],"برند و تیپ,وضعیت موتور,سالم,وضعیت شاسی‌ها,سالم و پلمپ,وضعیت بدنه,سالم و بی‌خط و خش,مهلت بیمهٔ شخص ثالث,۸ ماه,گیربکس,اتوماتیک,نحوه فروش,نقدی و قسطی,قیمت فروش نقدی,۴۲۰٬۰۰۰٬۰۰۰ تومان","[['۶۵٬۰۰۰'], [1397], ['سفید']]"
https://divar.ir/v/-/wYV887hs,[['سمند LX ساده']],"برند و تیپ,وضعیت موتور,سالم,وضعیت شاسی‌ها,سالم و پلمپ,وضعیت بدنه,دوررنگ,مهلت بیمهٔ شخص ثالث,۱۱ ماه,گیربکس,دنده‌ای,نحوه فروش,نقدی,قیمت فروش نقدی,۹۰٬۰۰۰٬۰۰۰ تومان","[['۲۰۰٬۰۰۰'], [1384], ['بژ']]"
https://divar.ir/v/-/wYV082mt,[['پژو پارس موتور جدید XU7P (سفارشی)']],"برند و تیپ,وضعیت موتور,سالم,وضعیت شاسی‌ها,سالم و پلمپ,وضعیت بدنه,سالم و بی‌خط و خش,مهلت بیمهٔ شخص ثالث,۱۲ ماه,گیربکس,دنده‌ای,نحوه فروش,نقدی,قیمت فروش نقدی,۳۱۵٬۰۰۰٬۰۰۰ تومان","[['۰'], [1401], ['سفید']]"
https://divar.ir/v/-/wYUUkTpw,[['هیوندای النترا 1800cc']],"برند و تیپ,وضعیت موتور,سالم,وضعیت شاسی‌ها,سالم و پلمپ,وضعیت بدنه,سالم و بی‌خط و خش,مهلت بیمهٔ شخص ثالث,۷ ماه,گیربکس,اتوماتیک,نحوه فروش,نقدی,قیمت فروش نقدی,۹۸۰٬۰۰۰٬۰۰۰ تومان","[['۱۵۰٬۰۰۰'], [2015], ['سفید']]"
https://divar.ir/v/-/wYVk7rUu,[['ام\u200cوی\u200cام X22 اتوماتیک اسپرت اکسلنت']],"برند و تیپ,وضعیت موتور,سالم,وضعیت شاسی‌ها,سالم و پلمپ,وضعیت بدنه,خط و خش جزیی,مهلت بیمهٔ شخص ثالث,۱۱ ماه,گیربکس,اتوماتیک,نحوه فروش,نقدی,قیمت فروش نقدی,۴۶۵٬۰۰۰٬۰۰۰ تومان","[['۹۰٬۰۰۰'], [1397], ['سفید']]"
https://divar.ir/v/-/wYV8csw5,[['پژو 206 تیپ ۲']],"برند و تیپ,وضعیت موتور,سالم,وضعیت بدنه,رنگ‌شدگی,گیربکس,دنده‌ای,نحوه فروش,نقدی,قیمت فروش نقدی,۱۵۰٬۰۰۰٬۰۰۰ تومان","[['۳۷۵٬۰۰۰'], [1389], ['سفید']]"
https://divar.ir/v/-/wYV8Mt7F,[['سمند سورن ELX']],"برند و تیپ,وضعیت موتور,سالم,وضعیت شاسی‌ها,سالم و پلمپ,وضعیت بدنه,سالم و بی‌خط و خش,مهلت بیمهٔ شخص ثالث,۱۲ ماه,گیربکس,دنده‌ای,نحوه فروش,نقدی,قیمت فروش نقدی,۲۴۵٬۰۰۰٬۰۰۰ تومان","[['۹۲٬۰۰۰'], [1394], ['سفید']]"
https://divar.ir/v/-/wYVQMw4Y,[['تارا دنده\u200cای']],"برند و تیپ,وضعیت موتور,سالم,وضعیت بدنه,سالم و بی‌خط و خش,نحوه فروش,نقدی,قیمت فروش نقدی,۴۳۹٬۰۰۰٬۰۰۰ تومان","[['۰'], [1401], ['مشکی']]"
https://divar.ir/v/-/wYV88qbb,[['بسترن B30']],"برند و تیپ,وضعیت موتور,سالم,وضعیت شاسی‌ها,سالم و پلمپ,وضعیت بدنه,سالم و بی‌خط و خش,مهلت بیمهٔ شخص ثالث,۱۰ ماه,گیربکس,اتوماتیک,نحوه فروش,نقدی,قیمت فروش نقدی,۵۸۰٬۰۰۰٬۰۰۰ تومان","[['۸۰٬۰۰۰'], [1398], ['سفید']]"
