Distance,Year,Color,MotorState,ChassisState,Guarantee,GearboxModel,PaymentMode,Price
۵۰٬۰۰۰,1398,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۳ ماه,دنده‌ای,نقدی
۲۵۰٬۰۰۰,1389,مشکی,سالم,ضربه‌خورده,سالم و پلمپ,دوررنگ,۷ ماه,دنده‌ای
۱۸۹٬۰۰۰,1392,سفید,سالم,رنگ‌شده,دوررنگ,۶ ماه,دنده‌ای,نقدی
۱۳۰٬۰۰۰,1391,نقره‌ای,سالم,سالم و پلمپ,رنگ‌شدگی,۱۲ ماه,دنده‌ای,نقدی
۱۰۰٬۰۰۰,1385,مشکی,سالم,صافکاری بی‌رنگ,۷ ماه,دنده‌ای,نقدی,۷۵٬۰۰۰٬۰۰۰ تومان
۱۶۰٬۰۰۰,2012,مشکی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۹ ماه,اتوماتیک,نقدی
۱۳۰٬۰۰۰,2016,سفید صدفی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۸ ماه,اتوماتیک,"نقدی, قابل معاوضه"
۲۰۰٬۰۰۰,1389,سفید,سالم,ضربه‌خورده,دوررنگ,۴ ماه,دنده‌ای,نقدی
۹۰۰,1400,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۰ ماه,اتوماتیک,نقدی
۳۹۰٬۰۰۰,1385,خاکستری,سالم,سالم و پلمپ,خط و خش جزیی,۵ ماه,دنده‌ای,نقدی
۲۳۰٬۰۰۰,2009,بژ,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۸ ماه,اتوماتیک,"نقدی, قابل معاوضه"
۲۹٬۰۰۰,1400,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۱ ماه,دنده‌ای,نقدی
۴۲٬۰۰۰,1400,دلفینی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۵ ماه,دنده‌ای,نقدی
۲۶٬۰۰۰,1397,خاکستری,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۵ ماه,اتوماتیک,نقدی
۳۰۰٬۰۰۰,1384,نوک‌مدادی,سالم,سالم و پلمپ,رنگ‌شدگی,۸ ماه,دنده‌ای,نقدی
۲۰۰٬۰۰۰,1387,خاکستری,سالم,سالم و پلمپ,رنگ‌شدگی,۱۲ ماه,اتوماتیک,نقدی
۱۷۰٬۰۰۰,1393,آبی,سالم,رنگ‌شدگی,۴ ماه,دنده‌ای,نقدی,۳۰۰٬۰۰۰٬۰۰۰ تومان
۱۲٬۳۴۵,1389,زرد,تعویض شده,سالم و پلمپ,خط و خش جزیی,۴ ماه,دنده‌ای,نقدی
۳۰۰٬۰۰۰,1386,خاکستری,سالم,خط و خش جزیی,۵ ماه,دنده‌ای,نقدی,۱۵۳٬۰۰۰٬۰۰۰ تومان
۲۳۵٬۰۰۰,2008,بژ,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۸ ماه,اتوماتیک,"نقدی, قابل معاوضه"
۱۴۰٬۰۰۰,2013,سفید صدفی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۷ ماه,اتوماتیک,نقدی
۰,1401,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,دنده‌ای,نقدی
۴۶٬۳۵۰,1389,نقره‌ای,سالم,سالم و پلمپ,خط و خش جزیی,۴ ماه,دنده‌ای,نقدی
۱۷۰٬۰۰۰,1391,خاکستری,سالم,سالم و پلمپ,خط و خش جزیی,۵ ماه,دنده‌ای,نقدی
۸۴٬۰۰۰,1396,سفید,سالم,رنگ‌شدگی,۴ ماه,دنده‌ای,"نقدی, قابل معاوضه",برای معاوضه
۲۲۰٬۰۰۰,1383,مشکی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,دنده‌ای,نقدی
۳۲۰٬۰۰۰,1387,سفید,سالم,سالم و پلمپ,رنگ‌شدگی,۹ ماه,دنده‌ای,نقدی
۱۴۲٬۰۰۰,2013,مشکی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۹ ماه,اتوماتیک,نقدی
۳۰۰٬۰۰۰,1378,سفید صدفی,سالم,خط و خش جزیی,۸ ماه,دنده‌ای,نقدی,۴۵٬۰۰۰٬۰۰۰ تومان
۶۶٬۰۰۰,1397,سفید صدفی,سالم,سالم و پلمپ,دوررنگ,۱۱ ماه,دنده‌ای,نقدی
۵۰٬۰۰۰,1395,مشکی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۶ ماه,اتوماتیک,نقدی
۲۷۹٬۰۰۰,1993,آبی,سالم,ضربه‌خورده,سالم و پلمپ,دوررنگ,۸ ماه,دنده‌ای
۹۰٬۰۰۰,1395,مشکی,سالم,رنگ‌شدگی,۵ ماه,اتوماتیک,نقدی,توافقی
۱۱۱٬۰۰۰,1396,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۴ ماه,اتوماتیک,نقدی
۱۴۰٬۰۰۰,2015,مشکی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۹ ماه,اتوماتیک,نقدی
۱۰۵٬۰۰۰,2016,مشکی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۴ ماه,اتوماتیک,نقدی
۲۴۰٬۰۰۰,1384,سرمه‌ای,سالم,سالم و پلمپ,رنگ‌شدگی، در ۲ ناحیه,۱۲ ماه,دنده‌ای,نقدی
۱٬۲۰۰,1400,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۵ ماه,دنده‌ای,نقدی
۵۳٬۸۰۰,1397,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۶ ماه,اتوماتیک,نقدی
۹۶٬۰۰۰,1397,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۴ ماه,دنده‌ای,نقدی
۰,1401,زرد,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۱ ماه,دنده‌ای,"نقدی, قابل معاوضه"
۳۷٬۰۰۰,1398,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۶ ماه,دنده‌ای,نقدی
۱۸۰٬۰۰۰,2011,آبی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۰ ماه,دنده‌ای,نقدی
۱۳۰٬۰۰۰,1397,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱ ماه,دنده‌ای,نقدی
