Infos
"['https://divar.ir/v/-/wYXgVJw0', ['سمند LX EF7 بنزینی'], ['نمایشگاه', 'اتومبیل صمد شکرالهی', 'برند و تیپ', 'وضعیت موتور', 'سالم', 'وضعیت شاسی\u200cها', 'سالم و پلمپ', 'وضعیت بدنه', 'رنگ\u200cشدگی', 'مهلت بیمهٔ شخص ثالث', '۱۱ ماه', 'گیربکس', 'دنده\u200cای', 'نحوه فروش', 'نقدی و قسطی', 'قیمت', '۱۴۸٬۰۰۰٬۰۰۰ تومان']]"
"['https://divar.ir/v/-/wYSoOFfV', ['پژو 206 تیپ ۲'], ['نمایشگاه', 'اتومبیل صمد شکرالهی', 'برند و تیپ', 'وضعیت موتور', 'سالم', 'وضعیت شاسی\u200cها', 'سالم و پلمپ', 'وضعیت بدنه', 'دوررنگ', 'مهلت بیمهٔ شخص ثالث', '۵ ماه', 'گیربکس', 'دنده\u200cای', 'نحوه فروش', 'نقدی و قسطی', 'قیمت', '۱۱۶٬۰۰۰٬۰۰۰ تومان']]"
"['https://divar.ir/v/-/wYXcFqxT', ['پراید 131 SE'], ['نمایشگاه', 'اتومبیل صمد شکرالهی', 'برند و تیپ', 'وضعیت موتور', 'سالم', 'وضعیت شاسی\u200cها', 'سالم و پلمپ', 'وضعیت بدنه', 'دوررنگ', 'مهلت بیمهٔ شخص ثالث', '۱ ماه', 'گیربکس', 'دنده\u200cای', 'نحوه فروش', 'نقدی و قسطی', 'قیمت', '۸۶٬۵۰۰٬۰۰۰ تومان']]"
"['https://divar.ir/v/-/wYZw9aZ4', ['سمند LX ساده'], ['برند و تیپ', 'وضعیت موتور', 'سالم', 'وضعیت شاسی\u200cها', 'سالم و پلمپ', 'وضعیت بدنه', 'خط و خش جزیی', 'مهلت بیمهٔ شخص ثالث', '۲ ماه', 'گیربکس', 'دنده\u200cای', 'نحوه فروش', 'نقدی', 'قیمت', '۱۳۵٬۰۰۰٬۰۰۰ تومان']]"
"['https://divar.ir/v/-/wYZs97jn', ['ساینا دنده\u200cای EX'], ['برند و تیپ', 'وضعیت موتور', 'سالم', 'وضعیت شاسی\u200cها', 'سالم و پلمپ', 'وضعیت بدنه', 'خط و خش جزیی', 'مهلت بیمهٔ شخص ثالث', '۶ ماه', 'گیربکس', 'دنده\u200cای', 'نحوه فروش', 'نقدی', 'قیمت', '۱۸۵٬۰۰۰٬۰۰۰ تومان']]"
"['https://divar.ir/v/-/wYZst-it', ['رنو پی کی'], ['برند و تیپ', 'وضعیت موتور', 'سالم', 'وضعیت شاسی\u200cها', 'سالم و پلمپ', 'وضعیت بدنه', 'خط و خش جزیی', 'گیربکس', 'دنده\u200cای', 'نحوه فروش', 'نقدی', 'قیمت', '۵۰٬۰۰۰٬۰۰۰ تومان']]"
"['https://divar.ir/v/-/wYZ49eC_', ['پژو 405 GLX - دوگانه سوز CNG'], ['برند و تیپ', 'وضعیت موتور', 'سالم', 'وضعیت شاسی\u200cها', 'سالم و پلمپ', 'وضعیت بدنه', 'رنگ\u200cشدگی', 'مهلت بیمهٔ شخص ثالث', '۶ ماه', 'گیربکس', 'دنده\u200cای', 'نحوه فروش', 'نقدی', 'قیمت', '۱۴۵٬۰۰۰٬۰۰۰ تومان']]"
"['https://divar.ir/v/-/wYXw1vV0', ['پژو 405 GLX بنزینی'], ['نمایشگاه', 'اتومبیل صمد شکرالهی', 'برند و تیپ', 'وضعیت موتور', 'سالم', 'وضعیت شاسی\u200cها', 'سالم و پلمپ', 'وضعیت بدنه', 'رنگ\u200cشدگی', 'مهلت بیمهٔ شخص ثالث', '۳ ماه', 'گیربکس', 'دنده\u200cای', 'نحوه فروش', 'نقدی و قسطی', 'قیمت', '۱۷۶٬۵۰۰٬۰۰۰ تومان']]"
"['https://divar.ir/v/-/wYZ4dVX2', ['پژو پارس ساده'], ['برند و تیپ', 'وضعیت موتور', 'سالم', 'وضعیت شاسی\u200cها', 'سالم و پلمپ', 'وضعیت بدنه', 'رنگ\u200cشدگی', 'مهلت بیمهٔ شخص ثالث', '۶ ماه', 'گیربکس', 'دنده\u200cای', 'نحوه فروش', 'نقدی', 'قیمت', '۱۶۵٬۰۰۰٬۰۰۰ تومان']]"
"['https://divar.ir/v/-/wYZ4tZo0', ['پراید صندوق\u200cدار CNG'], ['برند و تیپ', 'وضعیت موتور', 'سالم', 'شاسی جلو', 'ضربه\u200cخورده', 'شاسی عقب', 'سالم و پلمپ', 'وضعیت بدنه', 'دوررنگ', 'مهلت بیمهٔ شخص ثالث', '۶ ماه', 'گیربکس', 'دنده\u200cای', 'نحوه فروش', 'نقدی', 'قیمت', '۶۷٬۰۰۰٬۰۰۰ تومان']]"
"['https://divar.ir/v/-/wYU8eZBm', ['پیکان دوگانه سوز CNG'], ['برند و تیپ', 'وضعیت موتور', 'سالم', 'وضعیت شاسی\u200cها', 'سالم و پلمپ', 'وضعیت بدنه', 'سالم و بی\u200cخط و خش', 'مهلت بیمهٔ شخص ثالث', '۱۲ ماه', 'گیربکس', 'دنده\u200cای', 'نحوه فروش', 'نقدی و قسطی', 'قیمت', '۳۹٬۰۰۰٬۰۰۰ تومان']]"
"['https://divar.ir/v/-/wYZwNasg', ['پژو 405 GLX - دوگانه سوز CNG'], ['برند و تیپ', 'وضعیت موتور', 'نیاز به تعمیر', 'وضعیت شاسی\u200cها', 'سالم و پلمپ', 'وضعیت بدنه', 'سالم و بی\u200cخط و خش', 'مهلت بیمهٔ شخص ثالث', '۱ ماه', 'گیربکس', 'دنده\u200cای', 'نحوه فروش', 'نقدی', 'قیمت', '۶۰٬۰۰۰٬۰۰۰ تومان']]"
"['https://divar.ir/v/-/wYZ4tNud', ['تیبا هاچبک EX'], ['برند و تیپ', 'وضعیت موتور', 'سالم', 'وضعیت شاسی\u200cها', 'سالم و پلمپ', 'وضعیت بدنه', 'خط و خش جزیی', 'مهلت بیمهٔ شخص ثالث', '۵ ماه', 'گیربکس', 'دنده\u200cای', 'نحوه فروش', 'نقدی', 'قیمت', '۱۶۶٬۰۰۰٬۰۰۰ تومان']]"
"['https://divar.ir/v/-/wYZ49TQu', ['تیبا صندوق\u200cدار EX'], ['برند و تیپ', 'وضعیت موتور', 'سالم', 'وضعیت شاسی\u200cها', 'سالم و پلمپ', 'وضعیت بدنه', 'خط و خش جزیی', 'مهلت بیمهٔ شخص ثالث', '۹ ماه', 'گیربکس', 'دنده\u200cای', 'نحوه فروش', 'نقدی', 'قیمت', '۱۴۷٬۰۰۰٬۰۰۰ تومان']]"
