Distance,Year,Color,MotorState,ChassisState,Guarantee,GearboxModel,PaymentMode,Price,Block
۲۸٬۰۰۰,2016,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۰ ماه,اتوماتیک,نقدی,۹۷۰٬۰۰۰٬۰۰۰ تومان
۲۸٬۰۰۰,1398,سفید,سالم,ضربه‌خورده,سالم و پلمپ,تصادفی,۸ ماه,دنده‌ای,نقدی
۱۴۵٬۰۰۰,1389,سفید,سالم,سالم و پلمپ,خط و خش جزیی,۶ ماه,دنده‌ای,نقدی,۱۰۷٬۰۰۰٬۰۰۰ تومان
۱۱٬۰۰۰,1400,مشکی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۶ ماه,دنده‌ای,نقدی,۳۷۸٬۰۰۰٬۰۰۰ تومان
۱۱۴٬۰۰۰,1396,قهوه‌ای,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۹ ماه,اتوماتیک,نقدی,۷۹۰٬۰۰۰٬۰۰۰ تومان
۱۶۰٬۰۰۰,2008,خاکستری,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۷ ماه,اتوماتیک,نقدی,۹۵۰٬۰۰۰٬۰۰۰ تومان
۱۷٬۰۰۰,1399,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۶ ماه,دنده‌ای,نقدی,۲۸۸٬۰۰۰٬۰۰۰ تومان
۰,1401,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۱ ماه,دنده‌ای,قسطی,۱۰۴٬۰۰۰٬۰۰۰ تومان
۲۴۰٬۰۰۰,2007,قرمز,سالم,سالم و پلمپ,رنگ‌شدگی,۶ ماه,اتوماتیک,نقدی,۶۷۰٬۰۰۰٬۰۰۰ تومان
۰,1401,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,دنده‌ای,نقدی و قسطی,توافقی
۲۹٬۰۰۰,1399,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۶ ماه,اتوماتیک,نقدی,۶۱۸٬۰۰۰٬۰۰۰ تومان
۳۰۰٬۰۰۰,1383,نقره‌ای,سالم,سالم و پلمپ,دوررنگ,۳ ماه,دنده‌ای,نقدی,توافقی
۱۳۰٬۰۰۰,1394,گیلاسی,سالم,سالم و پلمپ,خط و خش جزیی,۶ ماه,دنده‌ای,نقدی,۱۹۲٬۰۰۰٬۰۰۰ تومان
۰,2017,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۶ ماه,اتوماتیک,نقدی,توافقی
۹۰٬۰۰۰,2014,سفید صدفی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۵ ماه,اتوماتیک,نقدی,توافقی
۱۶۵٬۰۰۰,1388,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۰ ماه,دنده‌ای,نقدی,۷۲٬۰۰۰٬۰۰۰ تومان
۰,1401,سفید صدفی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,اتوماتیک,نقدی و قسطی,۷۱۷٬۰۰۰٬۰۰۰ تومان
۲۴٬۰۰۰,1400,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۵ ماه,دنده‌ای,نقدی,۳۶۹٬۰۰۰٬۰۰۰ تومان
۸۳٬۰۰۰,1396,دلفینی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۷ ماه,دنده‌ای,نقدی,۱۴۷٬۰۰۰٬۰۰۰ تومان
۲۰۰٬۰۰۰,1389,سفید,سالم,سالم و پلمپ,ضربه‌خورده,خط و خش جزیی,۱۲ ماه,دنده‌ای,نقدی
۱,1401,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,اتوماتیک,قسطی,توافقی
۱۴۰٬۰۰۰,2014,مشکی,سالم,سالم و پلمپ,رنگ‌شدگی,۵ ماه,اتوماتیک,نقدی,۱٬۲۶۰٬۰۰۰٬۰۰۰ تومان
۸۸٬۰۰۰,2014,مشکی,سالم,سالم و پلمپ,خط و خش جزیی,۶ ماه,اتوماتیک,نقدی و قسطی,۱٬۴۶۰٬۰۰۰٬۰۰۰ تومان
۰,1401,سفید صدفی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,دنده‌ای,قسطی,توافقی
۹۷٬۰۰۰,2015,سفید,سالم,سالم و پلمپ,رنگ‌شدگی,۶ ماه,اتوماتیک,نقدی و قسطی,۱٬۴۸۰٬۰۰۰٬۰۰۰ تومان
۴۶٬۰۰۰,1394,مشکی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۲ ماه,دنده‌ای,نقدی,توافقی
۱۷۰٬۰۰۰,1390,مشکی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,اتوماتیک,نقدی,توافقی
۱۴٬۰۰۰,1400,مشکی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۱ ماه,اتوماتیک,نقدی,توافقی
۰,1401,مشکی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,اتوماتیک,نقدی,توافقی
۳۸۵٬۰۰۰,1389,آبی,سالم,سالم و پلمپ,خط و خش جزیی,۷ ماه,دنده‌ای,نقدی,۲۴۰٬۰۰۰٬۰۰۰ تومان
۱۳۵٬۰۰۰,2014,سفید صدفی,سالم,سالم و پلمپ,خط و خش جزیی,۵ ماه,اتوماتیک,نقدی,۱٬۳۷۵٬۰۰۰٬۰۰۰ تومان
۸۸٬۰۰۰,2009,نقره‌ای,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۳ ماه,اتوماتیک,نقدی,۱٬۹۵۰٬۰۰۰٬۰۰۰ تومان
۲۲۸٬۰۰۰,1390,سفید,سالم,سالم و پلمپ,خط و خش جزیی,۶ ماه,دنده‌ای,نقدی,۲۳۰٬۰۰۰٬۰۰۰ تومان
۷۲٬۰۰۰,2009,مشکی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۳ ماه,اتوماتیک,نقدی,توافقی
۱۵۰٬۰۰۰,2015,بژ,سالم,سالم و پلمپ,صافکاری بی‌رنگ,۳ ماه,اتوماتیک,نقدی,توافقی
۸۲٬۰۰۰,2015,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۳ ماه,اتوماتیک,نقدی,توافقی
۰,1401,مشکی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,اتوماتیک,نقدی,توافقی
۸۰٬۰۰۰,2017,آبی,سالم,سالم و پلمپ,رنگ‌شدگی,۳ ماه,اتوماتیک,نقدی,توافقی
۳۰٬۰۰۰,1399,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۳ ماه,اتوماتیک,نقدی,توافقی
۵۷٬۰۰۰,2017,مشکی,سالم,سالم و پلمپ,رنگ‌شدگی,۶ ماه,اتوماتیک,نقدی,۲٬۱۰۰٬۰۰۰٬۰۰۰ تومان
۲۰٬۰۰۰,2018,مشکی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۳ ماه,اتوماتیک,نقدی,توافقی
۱۱۰٬۰۰۰,2014,سفید صدفی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۹ ماه,اتوماتیک,نقدی,توافقی
۰,2018,تیتانیوم,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۳ ماه,اتوماتیک,نقدی,توافقی
۴۹٬۰۰۰,1397,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۳ ماه,اتوماتیک,نقدی,توافقی
۱۰۰٬۰۰۰,2016,سفید صدفی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۶ ماه,اتوماتیک,نقدی,۲٬۲۳۰٬۰۰۰٬۰۰۰ تومان
۱۶٬۰۰۰,1400,مشکی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,دنده‌ای,نقدی,۴۰۵٬۰۰۰٬۰۰۰ تومان
۱۰۰٬۰۰۰,1386,آبی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۴ ماه,دنده‌ای,نقدی,۲۲۵٬۰۰۰٬۰۰۰ تومان
۷۰٬۰۰۰,1395,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۷ ماه,دنده‌ای,نقدی,۳۳۱٬۰۰۰٬۰۰۰ تومان
۹۵٬۰۰۰,1394,قهوه‌ای,سالم,سالم و پلمپ,خط و خش جزیی,۶ ماه,دنده‌ای,نقدی,۱۵۵٬۰۰۰٬۰۰۰ تومان
۲۲,1400,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۱ ماه,دنده‌ای,نقدی,۲۹۰٬۰۰۰٬۰۰۰ تومان
۱۵۰٬۰۰۰,2009,سرمه‌ای,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۳ ماه,اتوماتیک,نقدی,توافقی
۷۵٬۰۰۰,2015,مشکی,سالم,سالم و پلمپ,خط و خش جزیی,۶ ماه,اتوماتیک,نقدی و قسطی,۱٬۶۰۰٬۰۰۰٬۰۰۰ تومان
۰,1401,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,دنده‌ای,نقدی,۴۰۷٬۰۰۰٬۰۰۰ تومان
۵۲٬۰۰۰,1397,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۱ ماه,دنده‌ای,نقدی,توافقی
۶٬۰۰۰,1401,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۶ ماه,دنده‌ای,نقدی,توافقی
۶۶٬۰۰۰,1398,سفید,سالم,سالم و پلمپ,خط و خش جزیی,۳ ماه,دنده‌ای,نقدی,۱۶۷٬۰۰۰٬۰۰۰ تومان
۰,1401,مشکی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,اتوماتیک,نقدی,توافقی
۳۰۰٬۰۰۰,1385,نقره‌ای,سالم,سالم و پلمپ,رنگ‌شدگی، در ۲ ناحیه,۶ ماه,دنده‌ای,نقدی,۸۹٬۵۰۰٬۰۰۰ تومان
۲۵۰٬۰۰۰,1386,نقره‌ای,سالم,سالم و پلمپ,رنگ‌شدگی,۱۲ ماه,دنده‌ای,نقدی,۷۵٬۰۰۰٬۰۰۰ تومان
۸۹٬۰۰۰,1396,سفید,سالم,سالم و پلمپ,خط و خش جزیی,۱۲ ماه,دنده‌ای,نقدی,۲۴۵٬۰۰۰٬۰۰۰ تومان
۹۸٬۰۰۰,2015,مشکی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۰ ماه,اتوماتیک,نقدی,۵۶۲٬۰۰۰٬۰۰۰ تومان
۰,1401,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,اتوماتیک,نقدی,توافقی
۲۴۰٬۰۰۰,1390,سفید,سالم,ضربه‌خورده,سالم و پلمپ,رنگ‌شدگی,۶ ماه,دنده‌ای,نقدی
۹۸٬۰۰۰,1395,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۳ ماه,دنده‌ای,نقدی,۲۳۰٬۰۰۰٬۰۰۰ تومان
۲٬۹۰۰,1398,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۱ ماه,اتوماتیک,نقدی,غیرقابل نمایش
۹۰۰,1400,مشکی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۵ ماه,دنده‌ای,نقدی,۳۵۰٬۰۰۰٬۰۰۰ تومان
۱۲۰٬۰۰۰,1396,مشکی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۸ ماه,اتوماتیک,نقدی,۷۰۰٬۰۰۰٬۰۰۰ تومان
۴۰٬۰۰۰,1398,ذغالی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۸ ماه,اتوماتیک,نقدی,۸۳۰٬۰۰۰٬۰۰۰ تومان
۳۰٬۰۰۰,1400,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۱ ماه,دنده‌ای,نقدی,۴۶۸٬۰۰۰٬۰۰۰ تومان
۱۲۰٬۰۰۰,1400,سفید,سالم,سالم و پلمپ,رنگ‌شدگی,۶ ماه,دنده‌ای,نقدی,۱۶۳٬۰۰۰٬۰۰۰ تومان
۲۷۰٬۰۰۰,1389,نوک‌مدادی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۶ ماه,دنده‌ای,نقدی و قسطی,توافقی
۸۹٬۰۰۰,2017,سفید صدفی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۶ ماه,اتوماتیک,نقدی,۱٬۸۸۰٬۰۰۰٬۰۰۰ تومان
۶۶٬۰۰۰,1397,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۶ ماه,دنده‌ای,نقدی,۱۴۸٬۵۰۰٬۰۰۰ تومان
۱۸٬۰۰۰,1399,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۷ ماه,دنده‌ای,نقدی,۳۴۸٬۰۰۰٬۰۰۰ تومان
۲۱۸٬۰۰۰,1393,خاکستری,سالم,سالم و پلمپ,خط و خش جزیی,۱ ماه,دنده‌ای,نقدی,غیرقابل نمایش
۸۸٬۰۰۰,2015,سفید صدفی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۰ ماه,اتوماتیک,نقدی,توافقی
۰,1401,مشکی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,اتوماتیک,نقدی و قسطی,توافقی
۹۹٬۰۰۰,1395,سفید,سالم,سالم و پلمپ,رنگ‌شدگی,۶ ماه,اتوماتیک,"نقدی, قابل معاوضه",برای معاوضه
